screen_name	created_at	text	location	followers_count
yourtvcornwall	2021-02-08 17:55:25	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/PiuCeeR1PK"	Cornwall, Ontario	962
OHSUNews	2021-02-08 17:55:22	The @OHAOregon #COVID19 vaccine eligibility tool now includes scheduling for seniors 80+ https://t.co/dHLQ74LKYY	Portland, Oregon	15661
yourtvck	2021-02-08 17:55:21	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/eNK4TtJUDp"	Chatham, Ontario	1405
touchandtank	2021-02-08 17:55:17	@ayyy_ohhhh Its also 2x safer for people worried about their chances of dying due to #COVID19. Let that sink in.	Washington State	142
yourtvbkville	2021-02-08 17:55:17	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/2b4aI2uv5V"	Brockville, Ontario	473
COVID19_bot	2021-02-08 17:30:16	Total COVID-19 tests performed in Angola: 339,634. 20,086 cases, of those 0 today; 475 deaths, of those 0 today.	""	1212
COVID19_bot	2021-02-08 17:35:08	Evolution of cases in Mexico, Panama, Paraguay, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Trinidad and Tobago, Uruguay, Venezuela, since 100th confirmed case. https://t.co/GhjiP7M7Zu	""	1212
COVID19_bot	2021-02-08 17:45:15	Evolution of cases in Cambodia, China, Fiji, Laos, Malaysia, Mongolia, Papua New Guinea, Philippines, Korea, South, Vietnam, since 100th confirmed case. https://t.co/U5EX0gaiwX	""	1212
COVID19_bot	2021-02-08 17:55:15	Evolution of number of cases for Liechtenstein, with a total confirmed of 2,523 https://t.co/Hwsi81nOM8	""	1212
lkay54	2021-02-08 17:55:15	Sad that anyone dies from #covid. @GOP Rep. Ron Wright dies following Covid diagnosis and his wife also has the virus.  Wright is the first sitting member of Congress to die from #COVID19. https://t.co/yATFfopyRq	Ohio	1866
jaimalviya	2021-02-08 17:55:11	"@naomi2009 India has become the fastest country to vaccinate 6 million beneficiaries countrywide.

#CoronaVaccine 
#COVID19"	Bhopal _ Delhi	370
BernieApostle	2021-02-08 17:55:09	Truly wish there was a study of the party affiliation of dead politicians in the U.S. #COVID19 seems to be a leading cause of death for #Republican government officials. https://t.co/t6h9CZrqSZ	Inglewood, CA	190
FreeMediaInfo1	2021-02-08 17:55:09	"ADVARSEL! 
25 sannheter om Covid19 ""pandemien.""

WARNING!
25 truths about the Covid19 ""pandemic.""

BOOM!!!<U+0001F447><U+0001F447><U+0001F447>

https://t.co/PP110FDt1S"	""	587
BlueLabelCsltg	2021-02-08 17:55:09	European biotech companies rely on AI to deliver COVID-19 vaccine: https://t.co/Niq5DN7BBe  #AI #ML #Covid19 #medicaltech https://t.co/midA04IIT0	London, England	2002
ECpartnership	2021-02-08 17:55:08	"This government drive to increase workplace #covid19 testing is good news for London businesses that remain open. Rapid workplace testing could be an important tool for businesses as recovery gets underway - we hope to see it continue beyond lockdown.
https://t.co/SXjkbi33xz"	""	84
SDDOH	2021-02-08 17:55:08	Our daily #SouthDakota #COVID19 dashboard update has been posted. Explore our data dashboard at https://t.co/WltVeJUTmN. https://t.co/PLz7pBLr6F	Pierre, SD	3560
ashlandJohn	2021-02-08 17:55:06	"The #covid19 mutations in a Boston patient may hold clues to the origins of 1 variant.

https://t.co/nwAWmcERdu"	Oregon, USA	506
